LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
24.4611	25.8818	24.8228	26.1663	25.3572	25.1221	26.1482	26.1053	27.612	27.6357	26.3468	27.5914	28.2885	+	3.44227	0.000429907	XP_020921708.1;XP_020921707.1;NP_001139599.1;XP_020921706.1	DMD_BMD;DMD_WT
22.6088	24.0659	20.9544	20.8712	21.2813	20.1609	23.675	23.7465	24.3187	24.765	22.0321	23.7609	25.1051	+	1.34583	0.0193056	XP_013834901.1;XP_005667453.1;NP_001139601.1	
20.5674	21.7775	20.5231	19.7902	23.5545	22.7192	23.7737	23.5947	27.4006	26.9206	23.5662	27.3829	27.2565	+	7.48898	0.000190476	NP_001139772.1	WT_BMD;DMD_BMD;DMD_WT
22.5735	22.6744	20.6	20.8008	22.7949	20.039	20.4448	22.4981	24.1957	24.4212	23.5895	23.9234	24.9116	+	1.84847	0.00648276	NP_001153558.1;XP_020930232.1	DMD_BMD;DMD_WT
21.7731	20.6727	21.2981	20.3658	20.322	20.6528	20.3534	20.4455	23.8723	23.5949	21.4632	24.1682	23.785	+	5.47498	0.000409091	NP_001155875.1	DMD_WT;DMD_BMD
25.4133	26.0997	26.289	25.3801	25.852	25.9393	26.1615	26.3185	27.3098	27.2287	25.5588	26.9293	28.5269	+	2.95919	0.000781955	XP_005655646.1;NP_001157469.1;XP_005655644.1;XP_020946771.1	DMD_BMD;DMD_WT
24.443	25.078	24.8713	24.3469	23.566	24.1578	25.0701	23.6008	26.9488	26.6944	23.5545	26.8573	28.2761	+	4.40847	0.000285714	NP_001157470.1	DMD_WT;DMD_BMD
23.3687	22.6397	21.892	20.4434	22.4478	20.6756	20.2364	20.6194	24.0062	24.2321	20.9407	23.2268	23.4176	+	2.39284	0.00256805	XP_020938995.1;NP_001157478.1	DMD_WT
24.0336	24.0371	23.9717	24.2445	22.4154	19.5719	23.9719	24.3397	24.4582	24.2893	21.4855	24.2563	24.2372	+	1.14138	0.0326111	NP_001157492.1;XP_013838117.1;XP_005670497.1;XP_020927754.1;XP_020927755.1;XP_013838118.1;XP_020936535.1;XP_020936493.1;XP_020936502.1;XP_020936504.1;XP_020936508.1;XP_020936515.1;XP_020936521.1;XP_020956628.1;XP_020936519.1;XP_020956629.1;XP_020936530.1;XP_020936529.1;XP_020956631.1;XP_020956632.1;XP_020936487.1	
27.8677	28.3787	27.513	28.2645	26.8466	27.3703	28.1055	28.2999	27.0719	27.114	26.5899	26.6425	26.7939	+	1.32446	0.020358	XP_020930365.1;XP_020930364.1;XP_020930363.1;XP_005671766.1;XP_005671765.1;NP_001161101.2;XP_020930367.1;XP_020930366.1;XP_005671764.1	BMD_DMD
27.0915	27.4373	27.2111	27.9655	25.7575	26.746	27.5144	27.5765	26.013	26.351	25.3308	25.42	25.6805	+	1.46413	0.0144147	NP_001161110.1	BMD_DMD
21.1902	21.8549	22.7802	23.812	21.2936	20.6037	20.8255	21.0879	25.9112	25.7326	20.5548	25.4511	26.4438	+	5.54431	0.000433735	NP_001161111.1	BMD_WT;DMD_WT;DMD_BMD
20.6549	23.4194	20.7978	21.1474	20.9014	20.1596	20.8473	20.5061	25.4574	24.7629	22.6174	25.6391	25.5402	+	3.97466	0.000307692	NP_001161113.1	DMD_WT;DMD_BMD
36.9429	36.7532	36.8856	36.8225	36.8702	36.6388	36.7391	36.7685	36.5007	36.5995	37.0788	36.8002	36.5467	+	1.21779	0.0270909	XP_005671033.1;NP_001161267.1;XP_020927590.1;XP_020927589.1	
27.1713	27.4743	29.0292	28.5047	26.9098	26.95	27.1504	27.4891	29.7883	30.2843	27.7464	30.1336	30.305	+	4.35823	0.000275862	NP_001163988.1	DMD_WT;DMD_BMD
23.7783	24.0623	23.8622	23.3058	25.8399	23.9515	25.4521	25.5487	26.5932	26.9486	24.3865	26.4134	26.9451	+	4.08501	0.000313253	NP_001163991.1;XP_020946622.1	WT_BMD;DMD_BMD;DMD_WT
24.0332	21.2833	23.713	24.9101	25.2612	25.3156	25.1728	25.2713	26.2204	26.4993	24.2378	26.3319	26.4359	+	2.42857	0.00228743	NP_001163993.1	DMD_BMD
27.2121	25.9143	22.7458	26.5922	20.9768	25.5508	27.1502	27.0026	30.1667	30.1258	21.7687	29.7788	29.1193	+	1.92613	0.00544418	NP_001165839.1	DMD_WT
25.3079	25.9135	26.2607	26.2428	26.7581	26.2977	26.5749	26.5754	28.1292	28.0495	26.7656	27.9254	28.4994	+	5.45805	0.0004	NP_001167604.1	WT_BMD;DMD_BMD;DMD_WT
21.2131	20.7584	20.483	21.7463	21.8376	20.9576	19.7881	20.5271	22.5516	20.8016	21.4975	22.9524	23.0513	+	1.22345	0.0267386	XP_020946556.1;XP_005655643.1;NP_001171997.1	
22.7178	21.3057	21.9686	22.642	23.0436	21.5691	20.7784	20.414	24.355	24.4312	21.117	24.5068	24.6684	+	3.52067	0.000429268	NP_001171999.1;XP_005670990.1	DMD_WT;DMD_BMD
25.5599	25.6002	25.6233	25.6209	26.1344	25.9388	25.8191	25.5021	26.1207	26.0339	26.2016	26.6703	26.2275	+	2.06316	0.00430691	NP_001172061.2	DMD_BMD
24.2521	24.3715	24.7165	25.0351	25.2855	22.4835	20.3522	20.2961	25.1365	21.1116	21.1902	24.973	24.665	+	1.0548	0.0410969	NP_001172062.1;XP_005670934.1	
20.2595	22.7813	23.518	20.6429	20.1082	20.4425	20.4281	23.71	25.7812	25.1773	22.0253	25.4474	26.1205	+	2.83387	0.000926316	NP_001172064.1	DMD_WT;DMD_BMD
31.5072	31.8119	31.5883	31.9604	30.747	31.1397	31.7518	31.9408	31.073	31.4234	30.795	30.633	31.0507	+	0.981526	0.0498501	NP_001172071.1	
27.1613	27.8466	27.4482	27.743	26.6549	27.2239	27.3629	27.6149	27.0945	27.128	26.8714	26.3755	26.8446	+	1.24718	0.025194	NP_001172101.1;XP_020944286.1;XP_020944285.1	BMD_DMD
25.4196	25.6888	25.4442	25.7643	25.1749	25.3001	25.8871	25.5732	21.3526	25.0731	24.712	21.0142	24.8168	+	1.55279	0.0118217	NP_001172107.1	WT_DMD;BMD_DMD
29.966	29.7615	31.0266	29.8395	31.4739	30.7313	29.7879	29.259	25.999	27.1717	30.8714	29.2126	29.0227	+	1.97486	0.00497324	XP_020946619.1;XP_005663853.1;NP_001177086.1;XP_020946617.1	BMD_DMD;WT_DMD
24.7023	20.3707	24.6649	24.6012	24.1555	24.3142	24.7324	24.5971	25.4403	25.6333	24.6317	25.394	26.0228	+	1.00083	0.0474061	XP_020944244.1;NP_001177107.1	
22.3728	22.4429	21.4025	22.6074	20.674	22.4482	21.118	20.8896	23.876	24.2545	21.3655	23.9423	24.5905	+	4.21171	0.00027673	NP_001177145.1	DMD_WT;DMD_BMD
22.3405	24.665	23.9782	24.7346	21.5068	20.1184	21.7049	24.5906	22.0423	20.7202	20.3473	21.0524	21.315	+	1.46914	0.0142574	NP_001177146.1;XP_005660174.1;XP_020949985.1	BMD_DMD
21.5032	22.4113	20.8827	20.3254	21.0188	21.6479	22.5825	20.9116	23.6299	23.5754	20.8963	21.7376	23.8409	+	1.79052	0.00714667	NP_001177156.1;NP_001177155.1	DMD_BMD;DMD_WT
25.3811	25.4866	25.1849	25.1281	25.8712	25.5661	25.6405	25.5791	25.6886	26.0084	25.8947	26.2759	26.3871	+	2.81047	0.000972222	NP_001177159.1;XP_020920811.1;XP_020920810.1;XP_020920808.1	WT_BMD;DMD_BMD
26.4572	27.0679	26.8724	27.2311	24.7277	24.9588	26.3063	26.7247	25.7408	26.2008	26.0055	25.6232	25.744	+	1.50504	0.0132676	NP_001177161.2	BMD_WT
28.804	28.4893	28.3833	28.259	29.0143	28.8793	28.6693	28.611	29.5246	28.9385	28.2274	29.3994	29.1041	+	2.14876	0.00379679	NP_001177351.1	DMD_BMD;DMD_WT
25.707	26.24	26.473	26.339	26.2645	26.4099	26.6134	26.6003	28.0941	28.2061	26.2496	27.9236	28.5829	+	5.91686	0.000280702	NP_001182041.1	DMD_BMD;DMD_WT
21.2253	21.5902	22.886	21.8235	22.8559	23.2432	24.3748	24.1713	26.2946	26.5216	21.2309	26.3204	26.8407	+	4.12648	0.000294479	NP_001182048.1	DMD_BMD;DMD_WT
24.5209	25.3533	25.3339	25.4621	21.1369	25.3767	25.254	24.2009	27.1999	27.2353	24.7746	27.1827	26.8176	+	2.01668	0.00465509	XP_005670994.1;XP_005670993.1;NP_001182259.1	DMD_WT
28.4277	28.3547	28.3519	28.2594	28.4481	28.406	27.9243	28.0835	28.7568	28.7957	28.3658	28.7635	28.7048	+	2.84294	0.000907801	NP_001182437.1;NP_001182440.1	DMD_WT;DMD_BMD
28.0965	27.8621	28.0827	27.9317	28.3305	28.2214	28	27.8566	27.4551	27.255	27.942	27.6462	27.4744	+	3.23	0.00054321	NP_001182709.1;XP_020922766.1;XP_020922713.1;XP_020922676.1	BMD_DMD;WT_DMD
20.8355	21.3177	24.8676	23.386	21.1435	21.0651	24.2543	20.8421	24.9744	25.8253	21.3455	25.2994	25.8054	+	2.17412	0.00368733	XP_020927548.1;NP_001185848.1;XP_020927551.1;XP_020927549.1;XP_020927547.1;XP_005671100.1;XP_005671099.1;XP_005671098.1	DMD_WT;DMD_BMD
20.9105	20.9355	20.4987	21.2527	20.1238	20.5299	20.6236	20.4127	24.4642	24.5436	21.3519	24.5769	24.8091	+	7.78107	0	NP_001185851.1;XP_020927581.1;XP_020948940.1;XP_020948938.1;XP_020948934.1;XP_020948933.1;XP_020948928.1;XP_020948925.1;XP_020950998.1;XP_020950993.1;XP_013848440.1;XP_005659658.1;XP_005659656.1;XP_001925326.1	DMD_WT;DMD_BMD
25.9345	25.9957	26.2324	26.111	26.249	26.2462	26.2817	26.2422	27.4611	27.3752	26.1144	27.6731	27.647	+	8.10457	0	XP_020921798.1;XP_020921797.1;NP_001188313.1;XP_020921795.1	DMD_BMD;DMD_WT
24.1761	23.9571	24.1697	24.4732	21.1403	24.6432	24.8606	25.1493	26.2904	26.4231	25.3048	25.3874	26.8797	+	1.34304	0.019399	NP_001191212.1;XP_020938996.1;XP_013850028.1;XP_013834333.2	
21.7661	21.009	22.5196	21.2751	22.0088	21.088	22.5486	20.4893	25.4289	25.3885	20.3624	25.4102	25.5595	+	4.98355	0.000315789	XP_005668988.1;NP_001191688.1	DMD_WT;DMD_BMD
28.3582	28.2096	28.2937	27.9831	28.4523	28.3788	28.2172	28.0584	28.0556	27.6109	28.0869	27.8508	27.6588	+	2.07316	0.00429016	NP_001191699.1	BMD_DMD;WT_DMD
22.965	24.3809	25.9333	23.7881	21.8794	23.4685	20.3126	22.9492	27.0204	27.4824	24.4997	27.1917	28.9376	+	3.18026	0.000585366	NP_001193276.1;CON__Q2KJC7	DMD_WT;DMD_BMD
35.7069	35.4965	35.794	35.3335	36.1478	36.0163	35.5206	35.4699	35.197	35.3078	36.022	35.4321	35.1803	+	1.72126	0.00819533	NP_001193288.1;XP_020946773.1	WT_DMD
21.0902	21.848	21.7065	22.7487	21.7542	22.5925	21.7805	21.1843	23.6659	23.5831	21.3488	23.4564	24.0413	+	3.31874	0.000517241	XP_020923906.1;NP_001193464.1;XP_020923905.1;XP_020923907.1	DMD_WT;DMD_BMD
26.3489	26.108	25.8416	25.908	25.7738	26.2264	26.3503	26.1771	26.5959	26.6362	26.3711	26.5922	26.7322	+	2.33349	0.00287679	NP_001229989.1;XP_013852534.1;NP_001230731.1;XP_020955042.1	DMD_BMD;DMD_WT
20.0469	23.0237	21.4366	20.3413	20.9461	20.1345	24.1592	21.7756	24.6587	25.0745	22.1915	24.1116	24.429	+	2.16491	0.00374194	XP_020934812.1;NP_001230139.1	DMD_BMD;DMD_WT
20.6094	21.1852	24.0894	22.4108	24.4711	22.2475	24.1154	23.7651	24.3562	24.737	23.7062	25.1167	25.1801	+	1.97973	0.00489756	NP_001230144.1	DMD_BMD
29.2571	29.088	29.1021	28.9062	29.6709	29.3902	29.2903	28.8996	28.9783	28.6937	29.33	28.9357	28.7503	+	1.70122	0.00857143	XP_005663515.1;NP_001230223.1;XP_020944150.1;XP_013852613.1	WT_DMD
28.7241	28.8257	28.5069	28.9203	29.4613	30.0189	29.215	28.8054	31.245	30.8613	28.2976	30.4562	30.2626	+	3.34449	0.000513274	NP_001230248.1;XP_003133034.2;XP_005670968.2	DMD_BMD;DMD_WT
27.657	28.2509	28.5232	27.9842	27.8574	27.7973	27.9863	27.5764	29.4575	28.9711	28.3123	29.1975	29.8706	+	3.76089	0.000331492	NP_001230268.1;CON__Q05443	DMD_WT;DMD_BMD
21.4372	20.1623	21.0581	22.3792	20.2746	22.2153	23.3116	24.697	25.224	25.1626	25.0256	25.4846	25.0479	+	2.22388	0.00341436	NP_001230274.1;XP_013849640.1	DMD_BMD
27.3669	26.5469	26.3363	26.764	25.4775	25.9687	26.979	26.7388	28.6307	27.9178	21.9444	27.8523	27.1297	+	1.20896	0.0276586	NP_001230317.1	
25.606	25.5482	23.6987	25.4325	26.2517	25.7792	26.2361	26.309	26.8358	26.8826	25.418	26.7849	26.855	+	2.3831	0.00262353	NP_001230356.1	DMD_BMD
24.7418	24.6303	24.0935	23.9309	21.2426	25.0619	24.8818	25.0194	27.8355	28.1376	25.2047	28.1667	28.3165	+	3.15887	0.000592	NP_001230363.1	DMD_WT;DMD_BMD
25.8525	25.7155	25.9951	25.4067	26.2477	26.0761	25.8649	25.6523	26.1703	26.0865	26.0038	26.1815	26.4828	+	1.49513	0.0135292	NP_001230377.1;NP_001230376.1	DMD_BMD
23.6325	20.7138	21.1309	21.5592	24.2942	24.4495	24.4245	24.097	25.3676	25.5528	21.1604	25.3676	26.0249	+	2.51327	0.0018375	NP_001230406.1	DMD_BMD
20.9522	21.5256	21.9618	21.2871	21.5042	21.1002	21.2212	22.6598	24.6574	25.0265	21.3341	24.725	25.1021	+	5.86074	0.000253968	XP_013834051.1;NP_001230410.1	DMD_BMD;DMD_WT
21.0696	21.0499	23.126	20.9053	22.7346	20.7104	20.7075	20.6862	23.8106	23.4098	20.5087	23.5034	23.6264	+	2.52021	0.00182965	NP_001230423.1	DMD_WT;DMD_BMD
21.0762	21.165	21.3054	20.9788	22.1371	20.7854	21.2432	22.6256	23.9508	24.0403	21.448	24.2881	24.1509	+	5.02308	0.000330275	NP_001230424.1	DMD_BMD;DMD_WT
20.0624	24.2304	24.8235	24.8886	25.0171	24.5162	24.714	25.0607	25.7296	25.9507	25.3583	26.0047	26.2617	+	1.21635	0.0272026	NP_001230453.1	
21.073	21.1715	20.2923	21.8167	21.5893	21.6409	22.6871	20.3728	27.2592	27.1766	22.8957	27.6919	27.6094	+	6.40377	0.000390244	XP_020937161.1;NP_001230504.1	DMD_BMD;DMD_WT
21.9364	20.1775	20.8385	22.9908	20.3254	22.8397	20.3281	21.8518	24.5143	24.3321	22.316	24.3549	24.465	+	2.62416	0.0015817	XP_020932933.1;NP_001230506.1	DMD_BMD;DMD_WT
21.6832	21.1684	21.1714	20.1331	23.0867	19.922	22.325	21.2883	24.4664	24.829	21.7844	24.9153	24.9172	+	3.75214	0.000327869	XP_020918145.1;XP_020918104.1;XP_005659874.1;NP_001230636.1	DMD_BMD;DMD_WT
20.8799	22.015	21.2854	20.684	21.6393	20.4844	21.5216	20.7708	25.3095	25.1575	20.5581	25.0784	25.5337	+	6.66911	0.000216216	XP_020930257.1;XP_020930256.1;NP_001230722.1;XP_020930255.1;XP_020930254.1;XP_020930259.1	DMD_WT;DMD_BMD
27.4101	27.9949	27.3901	27.8681	26.5072	26.9799	27.7474	27.5907	26.7552	27.1482	26.8954	26.0296	26.7689	+	1.48303	0.0138473	NP_001230725.1	BMD_DMD
21.0579	21.8888	21.2918	21.4946	24.0432	24.1653	24.1148	24.1616	24.2888	24.0228	22.2145	20.2853	24.395	+	1.3205	0.0205214	NP_001230751.1	WT_BMD
25.1908	26.2726	26.5245	26.2489	25.0514	25.612	25.7324	25.3792	27.6427	27.1025	26.3941	26.7621	28.5355	+	2.49811	0.00189474	XP_005662305.1;NP_001230818.1	DMD_WT;DMD_BMD
25.5271	25.4928	25.5287	25.0274	25.3367	25.0599	25.4574	25.4016	26.4228	25.5791	25.769	26.0703	26.0416	+	1.87385	0.00615385	NP_001230825.1	DMD_BMD;DMD_WT
20.2123	21.7667	20.3074	21.0196	20.8851	21.3121	21.2549	21.3104	23.7173	23.7174	22.2924	24.1077	23.6285	+	4.55933	0.000300752	XP_013837953.1;XP_005654258.1;NP_001230831.1	DMD_BMD;DMD_WT
30.708	30.6709	30.7117	30.7999	31.1643	31.2583	30.8926	30.9594	31.5026	31.4076	30.8463	31.4554	31.3427	+	4.41591	0.00028777	NP_001230836.1	WT_BMD;DMD_BMD;DMD_WT
31.3385	31.0675	31.1236	30.8409	31.7281	31.3601	31.0545	30.9457	30.9609	30.7413	31.6653	30.981	30.7336	+	1.29981	0.0217687	XP_005657046.1;NP_001230857.1	WT_DMD
21.1747	20.9791	21.2887	21.1346	20.8615	20.8271	20.8808	22.7652	25.2557	25.2565	21.8329	25.823	25.4718	+	6.01415	0.000290909	NP_001230992.1	DMD_BMD;DMD_WT
21.4347	21.1536	22.1271	21.141	20.5871	20.9445	20.9528	23.8374	24.684	23.8879	21.1011	25.3352	24.4611	+	3.04503	0.000648649	XP_020924121.1;NP_001230994.1	DMD_BMD;DMD_WT
22.6579	20.3244	22.0022	20.1483	21.4293	23.6713	21.7738	23.8914	24.0634	24.7144	21.5461	24.3676	24.4994	+	2.28775	0.00310482	NP_001230999.1;XP_005664771.2	DMD_BMD;DMD_WT
22.0639	21.2681	21.8813	21.1379	20.5276	20.9511	22.9243	20.3885	21.2179	24.5092	21.0783	24.2689	25.2778	+	1.7073	0.00841438	XP_005665953.2;NP_001231035.1	DMD_WT
20.8016	21.523	21.1012	21.9834	24.3067	25.8254	25.7504	26.4201	27.1825	27.2327	20.812	26.8729	26.821	+	3.02284	0.00069697	NP_001231042.1;CON__P02676	WT_BMD;DMD_BMD
21.5193	25.8571	25.8232	25.7084	24.7509	24.5882	25.6091	26.5808	28.0077	28.0306	25.9903	27.4946	28.7838	+	1.93291	0.00538425	NP_001231061.1	DMD_BMD;DMD_WT
20.2629	22.7225	21.2741	21.8574	21.4304	19.9375	21.1252	22.4316	20.9091	24.1028	21.6292	24.4836	24.6951	+	1.278	0.0231973	NP_001231072.1;NP_001231071.1	
23.3283	22.14	20.4529	21.7355	21.5888	20.9479	20.1241	22.4004	23.8955	23.5842	20.7542	21.8253	23.872	+	1.50936	0.0131886	NP_001231078.1;XP_020921748.1	DMD_WT
31.563	31.8383	31.6428	31.9863	30.7781	31.2484	31.7583	31.867	31.1285	31.3247	30.9595	30.69	30.9652	+	1.35745	0.0187178	NP_001231082.1	BMD_DMD
27.4948	27.3649	27.1843	27.4552	27.6468	27.6652	27.4112	27.7103	27.6559	27.6851	27.5234	27.8131	27.7857	+	2.35689	0.00277101	NP_001231086.1	WT_BMD;DMD_BMD
27.0272	27.0664	26.8661	27.1169	26.4473	26.771	27.0905	26.8389	26.5751	26.7506	26.0664	26.6126	26.3952	+	1.06104	0.0404006	NP_001231105.1;XP_020934189.1;XP_020934188.1;XP_020934187.1;XP_020934186.1;XP_020934185.1;XP_020934184.1	
23.7719	24.092	24.617	25.0888	25.9236	25.9887	25.581	25.8902	26.6736	26.6835	25.0114	26.6294	26.7309	+	4.31539	0.00027027	NP_001231109.1	WT_BMD;DMD_BMD;DMD_WT
22.0398	21.606	21.3874	21.1232	21.1215	21.6825	24.0879	21.5909	24.4158	24.7114	21.6302	24.6149	24.5204	+	3.30321	0.000515021	XP_005656340.1;NP_001231113.1	DMD_BMD;DMD_WT
28.6936	28.5781	28.8138	28.255	29.0604	28.7567	28.55	28.4966	28.7824	28.8693	28.9833	29.1868	29.1029	+	1.0206	0.0450616	XP_003125211.1;NP_001231139.1;NP_001231138.1	
26.6308	26.5858	26.3914	26.2075	26.7956	26.9113	26.5698	26.7614	26.6098	26.352	26.9743	26.6991	26.4419	+	1.60349	0.0103654	NP_001231165.1	WT_BMD
23.0079	20.374	21.6399	20.2951	20.7372	21.5581	20.6639	21.3222	24.4107	24.3985	21.7839	24.4193	24.8194	+	3.84166	0.000297143	NP_001231169.1	DMD_WT;DMD_BMD
21.569	22.0381	22.8278	21.2375	20.3465	20.7549	21.4583	20.9453	22.8224	23.3354	21.4489	20.6085	23.452	+	1.19589	0.0284672	NP_001231183.1;XP_020923851.1;XP_020923850.1;NP_001116652.1	
20.8192	22.1164	22.251	21.4921	22.008	24.0583	20.9928	21.0178	24.6466	24.9128	21.3305	25.1318	25.3316	+	3.28219	0.00052766	NP_001231189.1	DMD_BMD;DMD_WT
25.1649	23.0657	21.0252	22.69	21.3067	25.0876	21.1055	21.845	25.4048	25.0732	20.9576	25.6108	25.6824	+	1.77593	0.00729978	NP_001231205.1;XP_013840827.1	DMD_WT
24.8999	25.2337	25.1085	25.318	25.5439	25.7714	25.8201	25.8656	26.7138	26.3852	25.0714	26.7899	26.8116	+	4.69789	0.00028125	NP_001231230.1	WT_BMD;DMD_BMD;DMD_WT
20.5231	21.3666	22.15	20.8722	23.4588	23.6944	23.7498	21.1916	23.9054	23.8847	21.5102	23.9964	21.3225	+	1.15312	0.0315789	NP_001231288.1	
24.1259	23.5019	23.6552	23.2379	23.8204	23.5201	23.4891	23.3346	24.0872	24.2407	23.805	23.9146	24.4176	+	1.67776	0.00898563	NP_001231300.1	DMD_WT;DMD_BMD
21.3603	20.8966	22.2276	21.575	21.4311	21.0496	24.5292	20.183	24.4508	24.2166	22.1758	24.8448	24.7441	+	2.30597	0.00302273	NP_001231313.1;XP_003134345.1	DMD_BMD;DMD_WT
21.5188	20.571	21.0423	22.0847	21.2654	22.5326	21.1087	20.7268	24.0595	25.2504	22.0458	23.7645	21.0836	+	1.47969	0.0139147	XP_013845657.1;XP_005652865.1;NP_001231321.1	DMD_BMD
28.885	28.9977	28.8613	29.1099	28.1149	28.6407	28.8079	28.7733	28.3276	28.3864	27.9807	27.8237	28.1121	+	2.05327	0.00435354	NP_001231327.1	BMD_DMD
25.9137	25.9007	25.8642	26.2412	26.5555	26.4026	26.3574	26.5298	28.1186	28.2359	26.2921	28.2616	28.5007	+	8.73839	0	XP_005666120.1;NP_001231362.1	WT_BMD;DMD_BMD;DMD_WT
21.1756	21.4511	21.485	23.0328	21.1254	21.9387	21.9372	21.5271	23.1646	23.6338	21.4702	24.0266	24.0768	+	3.36142	0.000497778	NP_001231368.1;XP_020944262.1;XP_020944273.1;XP_020944272.1;XP_020944271.1;XP_020944274.1;XP_020944269.1;XP_020944270.1;XP_020944263.1;XP_020944265.1;XP_020944264.1;XP_020944267.1;XP_020944268.1;XP_020944266.1;XP_020944275.1;XP_020944276.1;XP_020944277.1;XP_020944278.1;XP_020944279.1;XP_020944283.1;XP_020944280.1;XP_020944281.1;XP_020944282.1;XP_020944284.1;XP_005662795.1;XP_003125393.1;XP_013851790.1	DMD_WT;DMD_BMD
24.8506	25.0868	24.9221	24.9546	25.1402	25.0853	25.0164	25.1175	25.5617	25.6886	24.9542	25.7079	25.7844	+	6.18689	0.000326531	NP_001231397.1;XP_020953951.1	DMD_BMD;DMD_WT
20.6722	24.2685	21.0196	21.6237	20.6245	21.3941	24.7715	24.7138	24.9503	25.3013	23.1856	24.6259	24.9978	+	1.362	0.0184852	NP_001231430.1	DMD_BMD
20.2838	23.6183	20.7547	23.8587	24.0197	23.6963	21.8137	21.0582	24.8726	24.4492	23.9693	24.4322	25.1071	+	1.23894	0.0257653	XP_020946853.1;XP_013839078.1;XP_013839319.1;XP_013839282.1;XP_005652591.1;XP_020946845.1;XP_013839239.1;XP_020946844.1;XP_005652590.1;XP_005652589.1;XP_005652588.1;XP_005652587.1;XP_005652586.1;XP_005652602.1;XP_005652585.1;XP_005652584.1;XP_020946843.1;XP_005652583.1;XP_005652582.1;XP_005652581.1;XP_005652580.1;XP_005652579.1;XP_005652578.1;XP_020946842.1;XP_020946846.1;XP_013838729.1;NP_001231441.1;XP_013839381.1;XP_020946848.1;XP_005652597.1;XP_005652596.1;XP_020946847.1;XP_013839542.1;XP_005652593.1;XP_020946850.1;XP_005652592.1;XP_013839353.1;XP_020946851.1;XP_005652598.1;XP_005652599.1;XP_013839644.1;XP_005652601.1;XP_020946852.1;XP_020946849.1;XP_020926752.1;XP_020926751.1;XP_020926748.1;XP_020926747.1;XP_020926750.1;XP_020926745.1;XP_020926746.1;XP_020926749.1;XP_020926744.1;XP_013837213.1;XP_013837212.1;XP_005669675.1;XP_003358505.1	
21.9356	24.345	21.5677	20.8894	25.175	26.0709	25.8377	26.3909	27.5472	27.3675	24.5812	27.0424	26.6651	+	4.0882	0.000315152	NP_001231453.1;XP_005666850.1	WT_BMD;DMD_BMD
27.6542	28.0986	27.801	28.1741	26.9413	27.3534	27.8107	27.919	27.2603	27.4484	26.8791	26.9528	27.2175	+	1.4201	0.016036	NP_001231460.1	BMD_DMD
21.2383	21.15	20.6971	21.3359	23.0333	20.1379	21.6943	21.1717	24.137	24.0798	22.1094	23.6802	23.9383	+	3.38611	0.000466368	XP_005654813.1;NP_001231527.1	DMD_BMD;DMD_WT
21.9203	20.7754	21.5687	20.8665	21.9242	21.8347	20.9235	21.178	25.5592	25.4045	22.993	25.2856	26.1439	+	5.50514	0.000423529	NP_001231560.1	DMD_BMD;DMD_WT
20.1704	20.3945	25.7352	25.3693	25.6954	25.5953	26.0014	26.2623	27.382	27.2428	21.5577	27.2628	27.6994	+	1.42615	0.0158409	NP_001231568.1	DMD_BMD
21.362	23.4305	21.7216	23.4473	22.8349	21.9146	23.3926	23.6075	23.4002	24.1441	20.9722	23.8188	24.4972	+	1.06669	0.0398024	XP_020945585.1;NP_001231571.1	
30.3128	30.8958	30.8464	31.2598	31.4945	31.629	31.5601	31.8806	33.331	32.8558	31.138	33.0304	32.8285	+	5.39943	0.000391304	NP_001231582.1;NP_999527.2;XP_020924222.1	WT_BMD;DMD_BMD;DMD_WT
21.7871	22.0142	21.3883	20.5994	21.3556	22.8825	21.0943	20.198	24.5803	21.3871	20.2464	24.884	24.7905	+	1.83903	0.00658447	NP_001231616.1	DMD_WT;DMD_BMD
21.1973	21.3305	21.2705	21.4193	20.7522	21.4439	20.2829	21.1749	21.4063	24.7335	20.9683	24.4641	24.9671	+	2.65801	0.00147855	NP_001231652.1	DMD_WT;DMD_BMD
20.5602	21.9992	23.7995	20.5414	20.7482	20.6942	21.2063	23.7145	23.8827	24.4687	24.4751	24.4479	24.6242	+	1.27412	0.0233557	NP_001231758.1;XP_013837676.1	
22.9548	23.5426	20.8995	21.4203	23.9671	21.15	21.4558	23.6283	24.5905	23.7457	22.326	24.1771	23.9251	+	1.21352	0.0274045	NP_001231762.1;NP_001230868.1	
25.8391	25.9048	26.1014	25.9855	26.2298	26.1629	26.117	26.2763	27.2672	27.302	26.4544	27.3412	27.5466	+	7.39951	0.000173913	NP_001231795.1	WT_BMD;DMD_BMD;DMD_WT
21.8523	20.2833	22.1263	24.5101	22.1475	23.7758	22.6296	22.0097	25.9237	25.569	20.5273	25.7832	26.24	+	2.72662	0.00113514	NP_001231864.1	DMD_BMD;DMD_WT
22.7576	21.4518	21.4493	21.5745	20.2937	20.3981	22.0596	23.785	24.2221	24.1809	20.1338	24.7941	24.2933	+	2.37724	0.00266276	NP_001231909.1;XP_005674076.1	DMD_WT;DMD_BMD
