LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
23.4307	24.3782	24.705	22.5285	20.6293	20.6186	23.2125	24.1072	27.2224	27.1223	20.6702	27.2118	26.6926	+	3.58702	0.000387755	NP_001032810.1	DMD_WT;DMD_BMD
35.3956	35.1087	35.1883	34.7293	35.6214	35.3435	34.7612	34.6359	34.489	34.3987	35.4907	34.7551	34.4927	+	1.4445	0.0150618	NP_001037992.1	WT_DMD
21.2738	20.9175	20.6135	20.8874	21.3424	20.3441	20.8632	20.8565	22.1386	25.1233	20.853	25.1323	24.9269	+	3.74201	0.000326087	NP_001038000.1;XP_005663527.1	DMD_WT;DMD_BMD
25.157	26.0283	25.7682	25.3697	24.4621	25.209	25.4278	25.0528	25.4954	25.5791	24.8392	25.5405	25.153	+	1.22587	0.0265925	NP_001038006.1;XP_013839744.1;XP_020930378.1	
22.0285	20.4866	20.7954	20.4571	22.1015	20.6921	20.4416	24.1926	25.4621	21.6782	24.4522	25.5615	24.9491	+	1.43233	0.0155797	NP_001038007.1	DMD_BMD
21.1265	20.6703	21.4838	20.6405	21.1942	24.2854	24.6724	25.0399	25.7579	26.01	25.1372	26.102	26.1777	+	3.72183	0.000324324	NP_001038008.1;XP_003121835.2	WT_BMD;DMD_BMD
28.4635	28.6255	28.6936	28.6743	28.8987	28.7758	28.6854	28.9015	30.2516	30.2289	28.9567	30.4883	30.4799	+	8.63311	0	NP_001038009.1;XP_003355423.1;XP_013843702.1;XP_020947258.1	WT_BMD;DMD_BMD;DMD_WT
31.8125	32.0862	31.6097	31.8755	30.9749	31.3978	31.5254	32.1635	30.8415	30.9197	30.74	30.438	30.0125	+	2.27789	0.00310364	XP_020937947.1;NP_001038016.1;XP_020930710.1;XP_020930647.1;XP_020930609.1;XP_020930555.1;XP_013848534.1;XP_005659733.1;XP_005659732.1;XP_003121596.1;NP_001302567.1;XP_020930835.1	WT_DMD;BMD_DMD
23.8639	26.0641	25.6921	25.0913	24.5685	23.971	24.5229	24.7684	26.7933	27.8334	25.9074	28.7131	28.2623	+	3.31991	0.000519481	XP_020944412.1;XP_020944411.1;NP_001038022.1	DMD_WT;DMD_BMD
20.7886	25.4813	22.2166	21.3346	20.5149	20.44	25.0581	25.2152	26.1992	25.9997	22.2814	25.5573	26.4518	+	1.43268	0.0155862	XP_020951792.1;XP_013854702.1;XP_003127889.1;NP_001231180.1;NP_001038037.3	
24.4704	24.6619	24.8954	25.4386	20.5777	24.1029	24.1021	24.9622	25.4142	26.0185	25.0862	25.2567	26.345	+	1.02279	0.0448824	XP_020957928.1;XP_020957927.1;XP_020957926.1;NP_001038066.1	
