x	y
26.44	3.78175
26.43	3.78177
26.42	3.7818
26.41	3.78183
26.4	3.78186
26.39	3.78189
26.38	3.78192
26.37	3.78195
26.36	3.78197
26.35	3.782
26.34	3.78203
26.33	3.78206
26.32	3.78209
26.31	3.78212
26.3	3.78215
26.29	3.78217
26.28	3.7822
26.27	3.78223
26.26	3.78226
26.25	3.78229
26.24	3.78232
26.23	3.78235
26.22	3.78238
26.21	3.7824
26.2	3.78243
26.19	3.78246
26.18	3.78249
26.17	3.78252
26.16	3.78255
26.15	3.78258
26.14	3.78261
26.13	3.78264
26.12	3.78267
26.11	3.78269
26.1	3.78272
26.09	3.78275
26.08	3.78278
26.07	3.78281
26.06	3.78284
26.05	3.78287
26.04	3.7829
26.03	3.78293
26.02	3.78296
26.01	3.78299
26	3.78302
25.99	3.78305
25.98	3.78308
25.97	3.7831
25.96	3.78313
25.95	3.78316
25.94	3.78319
25.93	3.78322
25.92	3.78325
25.91	3.78328
25.9	3.78331
25.89	3.78334
25.88	3.78337
25.87	3.7834
25.86	3.78343
25.85	3.78346
25.84	3.78349
25.83	3.78352
25.82	3.78355
25.81	3.78358
25.8	3.78361
25.79	3.78364
25.78	3.78367
25.77	3.7837
25.76	3.78373
25.75	3.78376
25.74	3.78379
25.73	3.78382
25.72	3.78385
25.71	3.78388
25.7	3.78391
25.69	3.78394
25.68	3.78397
25.67	3.784
25.66	3.78403
25.65	3.78406
25.64	3.78409
25.63	3.78412
25.62	3.78415
25.61	3.78418
25.6	3.78421
25.59	3.78424
25.58	3.78427
25.57	3.7843
25.56	3.78433
25.55	3.78436
25.54	3.78439
25.53	3.78442
25.52	3.78445
25.51	3.78448
25.5	3.78451
25.49	3.78454
25.48	3.78457
25.47	3.78461
25.46	3.78464
25.45	3.78467
25.44	3.7847
25.43	3.78473
25.42	3.78476
25.41	3.78479
25.4	3.78482
25.39	3.78485
25.38	3.78488
25.37	3.78491
25.36	3.78494
25.35	3.78497
25.34	3.78501
25.33	3.78504
25.32	3.78507
25.31	3.7851
25.3	3.78513
25.29	3.78516
25.28	3.78519
25.27	3.78522
25.26	3.78525
25.25	3.78528
25.24	3.78532
25.23	3.78535
25.22	3.78538
25.21	3.78541
25.2	3.78544
25.19	3.78547
25.18	3.7855
25.17	3.78554
25.16	3.78557
25.15	3.7856
25.14	3.78563
25.13	3.78566
25.12	3.78569
25.11	3.78572
25.1	3.78576
25.09	3.78579
25.08	3.78582
25.07	3.78585
25.06	3.78588
25.05	3.78591
25.04	3.78594
25.03	3.78598
25.02	3.78601
25.01	3.78604
25	3.78607
24.99	3.7861
24.98	3.78614
24.97	3.78617
24.96	3.7862
24.95	3.78623
24.94	3.78626
24.93	3.7863
24.92	3.78633
24.91	3.78636
24.9	3.78639
24.89	3.78642
24.88	3.78646
24.87	3.78649
24.86	3.78652
24.85	3.78655
24.84	3.78658
24.83	3.78662
24.82	3.78665
24.81	3.78668
24.8	3.78671
24.79	3.78675
24.78	3.78678
24.77	3.78681
24.76	3.78684
24.75	3.78688
24.74	3.78691
24.73	3.78694
24.72	3.78697
24.71	3.78701
24.7	3.78704
24.69	3.78707
24.68	3.7871
24.67	3.78714
24.66	3.78717
24.65	3.7872
24.64	3.78723
24.63	3.78727
24.62	3.7873
24.61	3.78733
24.6	3.78736
24.59	3.7874
24.58	3.78743
24.57	3.78746
24.56	3.7875
24.55	3.78753
24.54	3.78756
24.53	3.7876
24.52	3.78763
24.51	3.78766
24.5	3.7877
24.49	3.78773
24.48	3.78776
24.47	3.78779
24.46	3.78783
24.45	3.78786
24.44	3.78789
24.43	3.78793
24.42	3.78796
24.41	3.78799
24.4	3.78803
24.39	3.78806
24.38	3.78809
24.37	3.78813
24.36	3.78816
24.35	3.7882
24.34	3.78823
24.33	3.78826
24.32	3.7883
24.31	3.78833
24.3	3.78836
24.29	3.7884
24.28	3.78843
24.27	3.78846
24.26	3.7885
24.25	3.78853
24.24	3.78857
24.23	3.7886
24.22	3.78863
24.21	3.78867
24.2	3.7887
24.19	3.78874
24.18	3.78877
24.17	3.7888
24.16	3.78884
24.15	3.78887
24.14	3.78891
24.13	3.78894
24.12	3.78897
24.11	3.78901
24.1	3.78904
24.09	3.78908
24.08	3.78911
24.07	3.78915
24.06	3.78918
24.05	3.78921
24.04	3.78925
24.03	3.78928
24.02	3.78932
24.01	3.78935
24	3.78939
23.99	3.78942
23.98	3.78946
23.97	3.78949
23.96	3.78953
23.95	3.78956
23.94	3.78959
23.93	3.78963
23.92	3.78966
23.91	3.7897
23.9	3.78973
23.89	3.78977
23.88	3.7898
23.87	3.78984
23.86	3.78987
23.85	3.78991
23.84	3.78994
23.83	3.78998
23.82	3.79001
23.81	3.79005
23.8	3.79008
23.79	3.79012
23.78	3.79015
23.77	3.79019
23.76	3.79022
23.75	3.79026
23.74	3.7903
23.73	3.79033
23.72	3.79037
23.71	3.7904
23.7	3.79044
23.69	3.79047
23.68	3.79051
23.67	3.79054
23.66	3.79058
23.65	3.79061
23.64	3.79065
23.63	3.79069
23.62	3.79072
23.61	3.79076
23.6	3.79079
23.59	3.79083
23.58	3.79086
23.57	3.7909
23.56	3.79094
23.55	3.79097
23.54	3.79101
23.53	3.79104
23.52	3.79108
23.51	3.79112
23.5	3.79115
23.49	3.79119
23.48	3.79122
23.47	3.79126
23.46	3.7913
23.45	3.79133
23.44	3.79137
23.43	3.79141
23.42	3.79144
23.41	3.79148
23.4	3.79151
23.39	3.79155
23.38	3.79159
23.37	3.79162
23.36	3.79166
23.35	3.7917
23.34	3.79173
23.33	3.79177
23.32	3.79181
23.31	3.79184
23.3	3.79188
23.29	3.79192
23.28	3.79195
23.27	3.79199
23.26	3.79203
23.25	3.79206
23.24	3.7921
23.23	3.79214
23.22	3.79217
23.21	3.79221
23.2	3.79225
23.19	3.79229
23.18	3.79232
23.17	3.79236
23.16	3.7924
23.15	3.79243
23.14	3.79247
23.13	3.79251
23.12	3.79255
23.11	3.79258
23.1	3.79262
23.09	3.79266
23.08	3.7927
23.07	3.79273
23.06	3.79277
23.05	3.79281
23.04	3.79285
23.03	3.79288
23.02	3.79292
23.01	3.79296
23	3.793
22.99	3.79303
22.98	3.79307
22.97	3.79311
22.96	3.79315
22.95	3.79318
22.94	3.79322
22.93	3.79326
22.92	3.7933
22.91	3.79334
22.9	3.79337
22.89	3.79341
22.88	3.79345
22.87	3.79349
22.86	3.79353
22.85	3.79356
22.84	3.7936
22.83	3.79364
22.82	3.79368
22.81	3.79372
22.8	3.79376
22.79	3.79379
22.78	3.79383
22.77	3.79387
22.76	3.79391
22.75	3.79395
22.74	3.79399
22.73	3.79403
22.72	3.79406
22.71	3.7941
22.7	3.79414
22.69	3.79418
22.68	3.79422
22.67	3.79426
22.66	3.7943
22.65	3.79434
22.64	3.79437
22.63	3.79441
22.62	3.79445
22.61	3.79449
22.6	3.79453
22.59	3.79457
22.58	3.79461
22.57	3.79465
22.56	3.79469
22.55	3.79473
22.54	3.79477
22.53	3.7948
22.52	3.79484
22.51	3.79488
22.5	3.79492
22.49	3.79496
22.48	3.795
22.47	3.79504
22.46	3.79508
22.45	3.79512
22.44	3.79516
22.43	3.7952
22.42	3.79524
22.41	3.79528
22.4	3.79532
22.39	3.79536
22.38	3.7954
22.37	3.79544
22.36	3.79548
22.35	3.79552
22.34	3.79556
22.33	3.7956
22.32	3.79564
22.31	3.79568
22.3	3.79572
22.29	3.79576
22.28	3.7958
22.27	3.79584
22.26	3.79588
22.25	3.79592
22.24	3.79596
22.23	3.796
22.22	3.79604
22.21	3.79608
22.2	3.79612
22.19	3.79616
22.18	3.7962
22.17	3.79624
22.16	3.79628
22.15	3.79632
22.14	3.79637
22.13	3.79641
22.12	3.79645
22.11	3.79649
22.1	3.79653
22.09	3.79657
22.08	3.79661
22.07	3.79665
22.06	3.79669
22.05	3.79673
22.04	3.79677
22.03	3.79682
22.02	3.79686
22.01	3.7969
22	3.79694
21.99	3.79698
21.98	3.79702
21.97	3.79706
21.96	3.7971
21.95	3.79715
21.94	3.79719
21.93	3.79723
21.92	3.79727
21.91	3.79731
21.9	3.79735
21.89	3.7974
21.88	3.79744
21.87	3.79748
21.86	3.79752
21.85	3.79756
21.84	3.7976
21.83	3.79765
21.82	3.79769
21.81	3.79773
21.8	3.79777
21.79	3.79781
21.78	3.79786
21.77	3.7979
21.76	3.79794
21.75	3.79798
21.74	3.79803
21.73	3.79807
21.72	3.79811
21.71	3.79815
21.7	3.79819
21.69	3.79824
21.68	3.79828
21.67	3.79832
21.66	3.79836
21.65	3.79841
21.64	3.79845
21.63	3.79849
21.62	3.79854
21.61	3.79858
21.6	3.79862
21.59	3.79866
21.58	3.79871
21.57	3.79875
21.56	3.79879
21.55	3.79884
21.54	3.79888
21.53	3.79892
21.52	3.79896
21.51	3.79901
21.5	3.79905
21.49	3.79909
21.48	3.79914
21.47	3.79918
21.46	3.79922
21.45	3.79927
21.44	3.79931
21.43	3.79936
21.42	3.7994
21.41	3.79944
21.4	3.79949
21.39	3.79953
21.38	3.79957
21.37	3.79962
21.36	3.79966
21.35	3.7997
21.34	3.79975
21.33	3.79979
21.32	3.79984
21.31	3.79988
21.3	3.79992
21.29	3.79997
21.28	3.80001
21.27	3.80006
21.26	3.8001
21.25	3.80015
21.24	3.80019
21.23	3.80023
21.22	3.80028
21.21	3.80032
21.2	3.80037
21.19	3.80041
21.18	3.80046
21.17	3.8005
21.16	3.80055
21.15	3.80059
21.14	3.80064
21.13	3.80068
21.12	3.80072
21.11	3.80077
21.1	3.80081
21.09	3.80086
21.08	3.8009
21.07	3.80095
21.06	3.80099
21.05	3.80104
21.04	3.80108
21.03	3.80113
21.02	3.80118
21.01	3.80122
21	3.80127
20.99	3.80131
20.98	3.80136
20.97	3.8014
20.96	3.80145
20.95	3.80149
20.94	3.80154
20.93	3.80158
20.92	3.80163
20.91	3.80168
20.9	3.80172
20.89	3.80177
20.88	3.80181
20.87	3.80186
20.86	3.80191
20.85	3.80195
20.84	3.802
20.83	3.80204
20.82	3.80209
20.81	3.80214
20.8	3.80218
20.79	3.80223
20.78	3.80227
20.77	3.80232
20.76	3.80237
20.75	3.80241
20.74	3.80246
20.73	3.80251
20.72	3.80255
20.71	3.8026
20.7	3.80265
20.69	3.80269
20.68	3.80274
20.67	3.80279
20.66	3.80283
20.65	3.80288
20.64	3.80293
20.63	3.80298
20.62	3.80302
20.61	3.80307
20.6	3.80312
20.59	3.80316
20.58	3.80321
20.57	3.80326
20.56	3.80331
20.55	3.80335
20.54	3.8034
20.53	3.80345
20.52	3.8035
20.51	3.80354
20.5	3.80359
20.49	3.80364
20.48	3.80369
20.47	3.80373
20.46	3.80378
20.45	3.80383
20.44	3.80388
20.43	3.80393
20.42	3.80397
20.41	3.80402
20.4	3.80407
20.39	3.80412
20.38	3.80417
20.37	3.80421
20.36	3.80426
20.35	3.80431
20.34	3.80436
20.33	3.80441
20.32	3.80446
20.31	3.80451
20.3	3.80455
20.29	3.8046
20.28	3.80465
20.27	3.8047
20.26	3.80475
20.25	3.8048
20.24	3.80485
20.23	3.8049
20.22	3.80494
20.21	3.80499
20.2	3.80504
20.19	3.80509
20.18	3.80514
20.17	3.80519
20.16	3.80524
20.15	3.80529
20.14	3.80534
20.13	3.80539
20.12	3.80544
20.11	3.80549
20.1	3.80554
20.09	3.80559
20.08	3.80564
20.07	3.80569
20.06	3.80574
20.05	3.80579
20.04	3.80584
20.03	3.80588
20.02	3.80593
20.01	3.80598
20	3.80604
19.99	3.80609
19.98	3.80614
19.97	3.80619
19.96	3.80624
19.95	3.80629
19.94	3.80634
19.93	3.80639
19.92	3.80644
19.91	3.80649
19.9	3.80654
19.89	3.80659
19.88	3.80664
19.87	3.80669
19.86	3.80674
19.85	3.80679
19.84	3.80684
19.83	3.80689
19.82	3.80695
19.81	3.807
19.8	3.80705
19.79	3.8071
19.78	3.80715
19.77	3.8072
19.76	3.80725
19.75	3.8073
19.74	3.80736
19.73	3.80741
19.72	3.80746
19.71	3.80751
19.7	3.80756
19.69	3.80761
19.68	3.80767
19.67	3.80772
19.66	3.80777
19.65	3.80782
19.64	3.80787
19.63	3.80793
19.62	3.80798
19.61	3.80803
19.6	3.80808
19.59	3.80813
19.58	3.80819
19.57	3.80824
19.56	3.80829
19.55	3.80834
19.54	3.8084
19.53	3.80845
19.52	3.8085
19.51	3.80855
19.5	3.80861
19.49	3.80866
19.48	3.80871
19.47	3.80877
19.46	3.80882
19.45	3.80887
19.44	3.80892
19.43	3.80898
19.42	3.80903
19.41	3.80908
19.4	3.80914
19.39	3.80919
19.38	3.80924
19.37	3.8093
19.36	3.80935
19.35	3.80941
19.34	3.80946
19.33	3.80951
19.32	3.80957
19.31	3.80962
19.3	3.80967
19.29	3.80973
19.28	3.80978
19.27	3.80984
19.26	3.80989
19.25	3.80994
19.24	3.81
19.23	3.81005
19.22	3.81011
19.21	3.81016
19.2	3.81022
19.19	3.81027
19.18	3.81033
19.17	3.81038
19.16	3.81043
19.15	3.81049
19.14	3.81054
19.13	3.8106
19.12	3.81065
19.11	3.81071
19.1	3.81076
19.09	3.81082
19.08	3.81087
19.07	3.81093
19.06	3.81098
19.05	3.81104
19.04	3.8111
19.03	3.81115
19.02	3.81121
19.01	3.81126
19	3.81132
18.99	3.81137
18.98	3.81143
18.97	3.81149
18.96	3.81154
18.95	3.8116
18.94	3.81165
18.93	3.81171
18.92	3.81177
18.91	3.81182
18.9	3.81188
18.89	3.81193
18.88	3.81199
18.87	3.81205
18.86	3.8121
18.85	3.81216
18.84	3.81222
18.83	3.81227
18.82	3.81233
18.81	3.81239
18.8	3.81244
18.79	3.8125
18.78	3.81256
18.77	3.81261
18.76	3.81267
18.75	3.81273
18.74	3.81279
18.73	3.81284
18.72	3.8129
18.71	3.81296
18.7	3.81302
18.69	3.81307
18.68	3.81313
18.67	3.81319
18.66	3.81325
18.65	3.8133
18.64	3.81336
18.63	3.81342
18.62	3.81348
18.61	3.81354
18.6	3.81359
18.59	3.81365
18.58	3.81371
18.57	3.81377
18.56	3.81383
18.55	3.81389
18.54	3.81394
18.53	3.814
18.52	3.81406
18.51	3.81412
18.5	3.81418
18.49	3.81424
18.48	3.8143
18.47	3.81436
18.46	3.81441
18.45	3.81447
18.44	3.81453
18.43	3.81459
18.42	3.81465
18.41	3.81471
18.4	3.81477
18.39	3.81483
18.38	3.81489
18.37	3.81495
18.36	3.81501
18.35	3.81507
18.34	3.81513
18.33	3.81519
18.32	3.81525
18.31	3.81531
18.3	3.81537
18.29	3.81543
18.28	3.81549
18.27	3.81555
18.26	3.81561
18.25	3.81567
18.24	3.81573
18.23	3.81579
18.22	3.81585
18.21	3.81591
18.2	3.81597
18.19	3.81603
18.18	3.81609
18.17	3.81615
18.16	3.81622
18.15	3.81628
18.14	3.81634
18.13	3.8164
18.12	3.81646
18.11	3.81652
18.1	3.81658
18.09	3.81665
18.08	3.81671
18.07	3.81677
18.06	3.81683
18.05	3.81689
18.04	3.81695
18.03	3.81702
18.02	3.81708
18.01	3.81714
18	3.8172
17.99	3.81726
17.98	3.81733
17.97	3.81739
17.96	3.81745
17.95	3.81751
17.94	3.81758
17.93	3.81764
17.92	3.8177
17.91	3.81776
17.9	3.81783
17.89	3.81789
17.88	3.81795
17.87	3.81802
17.86	3.81808
17.85	3.81814
17.84	3.81821
17.83	3.81827
17.82	3.81833
17.81	3.8184
17.8	3.81846
17.79	3.81852
17.78	3.81859
17.77	3.81865
17.76	3.81872
17.75	3.81878
17.74	3.81884
17.73	3.81891
17.72	3.81897
17.71	3.81904
17.7	3.8191
17.69	3.81916
17.68	3.81923
17.67	3.81929
17.66	3.81936
17.65	3.81942
17.64	3.81949
17.63	3.81955
17.62	3.81962
17.61	3.81968
17.6	3.81975
17.59	3.81981
17.58	3.81988
17.57	3.81994
17.56	3.82001
17.55	3.82007
17.54	3.82014
17.53	3.82021
17.52	3.82027
17.51	3.82034
17.5	3.8204
17.49	3.82047
17.48	3.82053
17.47	3.8206
17.46	3.82067
17.45	3.82073
17.44	3.8208
17.43	3.82087
17.42	3.82093
17.41	3.821
17.4	3.82107
17.39	3.82113
17.38	3.8212
17.37	3.82127
17.36	3.82133
17.35	3.8214
17.34	3.82147
17.33	3.82153
17.32	3.8216
17.31	3.82167
17.3	3.82174
17.29	3.8218
17.28	3.82187
17.27	3.82194
17.26	3.82201
17.25	3.82207
17.24	3.82214
17.23	3.82221
17.22	3.82228
17.21	3.82235
17.2	3.82241
17.19	3.82248
17.18	3.82255
17.17	3.82262
17.16	3.82269
17.15	3.82276
17.14	3.82283
17.13	3.82289
17.12	3.82296
17.11	3.82303
17.1	3.8231
17.09	3.82317
17.08	3.82324
17.07	3.82331
17.06	3.82338
17.05	3.82345
17.04	3.82352
17.03	3.82359
17.02	3.82366
17.01	3.82373
17	3.8238
16.99	3.82387
16.98	3.82394
16.97	3.82401
16.96	3.82408
16.95	3.82415
16.94	3.82422
16.93	3.82429
16.92	3.82436
16.91	3.82443
16.9	3.8245
16.89	3.82457
16.88	3.82464
16.87	3.82471
16.86	3.82478
16.85	3.82486
16.84	3.82493
16.83	3.825
16.82	3.82507
16.81	3.82514
16.8	3.82521
16.79	3.82528
16.78	3.82536
16.77	3.82543
16.76	3.8255
16.75	3.82557
16.74	3.82564
16.73	3.82572
16.72	3.82579
16.71	3.82586
16.7	3.82593
16.69	3.82601
16.68	3.82608
16.67	3.82615
16.66	3.82622
16.65	3.8263
16.64	3.82637
16.63	3.82644
16.62	3.82652
16.61	3.82659
16.6	3.82666
16.59	3.82674
16.58	3.82681
16.57	3.82688
16.56	3.82696
16.55	3.82703
16.54	3.82711
16.53	3.82718
16.52	3.82725
16.51	3.82733
16.5	3.8274
16.49	3.82748
16.48	3.82755
16.47	3.82763
16.46	3.8277
16.45	3.82777
16.44	3.82785
16.43	3.82792
16.42	3.828
16.41	3.82807
16.4	3.82815
16.39	3.82823
16.38	3.8283
16.37	3.82838
16.36	3.82845
16.35	3.82853
16.34	3.8286
16.33	3.82868
16.32	3.82876
16.31	3.82883
16.3	3.82891
16.29	3.82898
16.28	3.82906
16.27	3.82914
16.26	3.82921
16.25	3.82929
16.24	3.82937
16.23	3.82944
16.22	3.82952
16.21	3.8296
16.2	3.82967
16.19	3.82975
16.18	3.82983
16.17	3.82991
16.16	3.82998
16.15	3.83006
16.14	3.83014
16.13	3.83022
16.12	3.8303
16.11	3.83037
16.1	3.83045
16.09	3.83053
16.08	3.83061
16.07	3.83069
16.06	3.83077
16.05	3.83084
16.04	3.83092
16.03	3.831
16.02	3.83108
16.01	3.83116
16	3.83124
15.99	3.83132
15.98	3.8314
15.97	3.83148
15.96	3.83156
15.95	3.83164
15.94	3.83172
15.93	3.8318
15.92	3.83188
